,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,-414.53864,113.01676,-48.67435,15.965867,-19.187819,1.4503362,-10.66118,-6.561129,-8.287423,-10.093177,-6.7510123,-11.323155,-6.9541926,-13.607677,-6.4793367,-10.46483,-7.1845546,-9.161591,-7.1193876,-5.4791813,-9.042444,-5.1108255,-8.031256,-5.836699,-8.608702,-7.0812397,-7.078782,-7.207121,-6.1895785,-5.597617,-3.2370036,-4.684041,-2.8855667,-2.9361458,-2.3191926,-2.588571,-2.0675273,-2.0054688,-2.267843,-2.2845845
1,-450.25085,130.61911,-58.170765,22.288965,-19.982552,5.212948,-14.327357,0.75376374,-10.597243,-8.713635,-6.7448874,-13.115622,-5.8276978,-15.270014,-2.4069698,-10.748647,-7.289545,-9.944618,-5.3858657,-5.0237145,-9.259707,-3.9816556,-7.7123017,-4.045521,-8.855866,-7.166729,-7.803581,-7.5723233,-4.8040447,-4.6511416,-2.9353964,-4.559714,-4.1318808,-3.746051,-3.0102131,-2.1913705,-1.171812,-2.3263254,-1.0997128,-0.96425337
2,-426.33395,129.6067,-51.86316,22.758503,-23.832853,1.0670786,-17.363165,-4.7586465,-9.219948,-9.622596,-6.8269362,-13.275964,-7.4154468,-12.012501,-5.950248,-11.786972,-6.644775,-14.050092,-7.868947,-6.4743867,-10.659949,-5.0295835,-7.8877816,-3.2533264,-7.518729,-5.963005,-7.986212,-8.099817,-5.1150746,-5.9738326,-4.2995286,-4.420612,-5.4888372,-6.9187613,-2.9856498,-3.8023674,-3.7029452,-3.2073991,-2.958536,-1.7833859
3,-477.12344,135.93149,-68.60736,29.01389,-32.840073,10.387387,-20.946466,-2.326585,-9.361281,-8.300345,-8.4400015,-14.207842,-7.571039,-12.013559,-4.2029905,-12.342057,-4.838478,-10.084837,-7.131428,-7.4594393,-9.303807,-6.341309,-8.325507,-5.05859,-10.331308,-6.677619,-7.272301,-5.162568,-2.7369993,-4.5798254,-2.5494099,-4.917579,-4.022497,-5.755628,-2.8778222,-4.2428718,-2.3864567,-2.8506513,-1.6866667,-0.03694593
4,-498.46487,133.3868,-67.396065,29.2644,-33.154285,11.270113,-21.688585,-1.7183721,-11.177813,-7.427575,-9.036305,-13.622694,-7.346481,-12.789952,-5.633981,-12.609015,-5.411033,-11.989031,-7.328691,-7.4174895,-10.144596,-6.5662646,-9.002205,-6.2204523,-10.018628,-6.848278,-7.4613833,-6.0244617,-3.5456567,-3.2595053,-2.0043688,-4.815535,-3.2638283,-6.36527,-2.8039367,-4.6145396,-3.612891,-3.6214254,-2.2045894,-0.74977916
5,-425.15997,124.19112,-52.43592,17.281338,-20.927008,5.653947,-18.894056,-4.6581163,-8.419534,-7.98345,-6.1544967,-13.64559,-5.584678,-12.956377,-4.928503,-9.473097,-6.9186096,-8.411369,-7.100432,-6.659885,-8.518396,-6.406226,-8.451671,-5.4728174,-8.7759495,-6.780394,-7.8273635,-6.7582917,-6.0764694,-3.6994762,-1.2154899,-3.844776,-3.0357308,-5.5876307,-2.8219142,-3.5834572,-2.7705922,-2.361104,-1.2659861,-1.424435
6,-417.91528,117.570526,-48.97627,12.531912,-19.60632,0.5996549,-12.589468,-4.4263263,-5.126422,-9.815281,-5.827053,-11.21866,-7.7165866,-10.627134,-5.728444,-9.7298975,-6.867742,-10.877368,-7.0692043,-5.720282,-11.075705,-4.8210826,-6.223728,-4.36431,-8.80388,-7.2283874,-7.489233,-7.870951,-4.382333,-5.454344,-2.4886527,-4.0723124,-3.4559402,-4.2870574,-3.3011968,-3.1616287,-4.0147467,-3.2230637,-2.9753542,-1.8563441
7,-377.1632,83.56193,-29.998205,1.3914475,-9.200946,-6.9844494,-5.3132052,-9.553992,-3.766157,-5.908193,-9.528587,-8.958262,-6.611005,-6.9167023,-7.597766,-7.070411,-10.013205,-12.680032,-6.648827,-5.0687227,-5.0354095,1.515479,1.9635135,-3.560132,-7.2697425,-10.589044,-9.344398,-4.314617,-2.890236,-3.7951431,-5.9965897,-4.731615,-1.8673434,-2.113845,-4.059375,-4.889962,-2.11728,-0.71757317,-2.3842037,-2.7505715
8,-417.37097,116.98878,-55.4475,21.2163,-21.990696,2.3309643,-18.43701,-4.4646697,-6.552789,-12.534465,-8.442619,-11.356856,-8.0691595,-13.360446,-5.3471923,-11.431891,-6.9068127,-11.631888,-8.945337,-8.452509,-12.271025,-5.530621,-7.8764734,-5.5243587,-7.195784,-4.863323,-5.633169,-5.7706175,-5.101415,-6.6753693,-4.479141,-5.6716723,-4.766634,-4.4391637,-3.3309789,-4.246106,-3.0887568,-2.314738,-1.5490363,-1.1193266
9,-439.94165,125.820564,-59.739643,24.507317,-24.20663,5.4467797,-19.785955,-3.6998415,-9.344036,-9.993962,-8.157559,-13.465285,-6.7952123,-13.896035,-5.741562,-12.363589,-6.5019054,-12.368851,-9.051951,-8.250735,-11.751432,-6.4994807,-7.8006134,-5.2606735,-7.757653,-3.9951875,-6.3393955,-5.240242,-4.3702025,-6.795652,-4.172846,-4.3687415,-4.3201566,-5.6334686,-4.0708485,-4.6043043,-3.914838,-3.5758746,-2.23266,-2.198012
